caso,turno_id,global_id,fase,operador_texto,contexto_paciente_previo,actos_verbales,split
Camila,Camila_113,112,E,"Entonces buscamos otra red: vecina de confianza, conserjería, administración, familiar, amiga, o que usted salga acompañada a un lugar seguro. No vamos a dejar la solución en “pasarlo sola” si se siente en peligro.",Dice el conserje que no la ubicaron.,otro,train
Camila,Camila_114,113,E,Está bien. Puede pedirle que se quede al otro lado de la puerta. Ya no está completamente sola. Vamos a esperar a que su cuerpo baje un poco.,"Sé que es ella, pero no puedo abrir.",otro,train
Camila,Camila_115,114,E,"Camila, ahora que su hermana está ahí, quiero explicar qué puede pasar esta noche. Puede seguir temblando, llorar de golpe, quedarse en blanco, sentir náuseas, no querer que la toquen, sobresaltarse con ruidos o volver a ver la imagen de la pistola.",Estoy aquí. No me voy.,validacion,train
Camila,Camila_116,115,E,"No peleen contra cada reacción. Lo importante esta noche es seguridad y compañía. No alcohol para calmarse, no manejar, no quedarse sola, no revisar videos o noticias del asalto si eso la activa, no contar la escena completa muchas veces.",Sí.,otro,train
Camila,Camila_117,116,E,"Si quiere revisar la puerta, hagan una verificación limitada. Una vez: puerta cerrada, pestillo, conserjería avisada. Después, cuando vuelva el impulso, pueden decir: “Ya revisamos. Estoy acompañada. Nadie sube sin autorización”.",Ya.,otro,train
Camila,Camila_118,117,E,"Probablemente. Entonces su hermana puede ayudarle a no quedar atrapada en revisar cada dos minutos. No retándola, sino recordándole el plan.",Voy a querer revisar igual.,otro,train
Camila,Camila_119,118,E,"Puede pasar. Esta noche el sueño puede estar cortado. No se obligue a dormir. Descanse acompañada, tome agua, coma algo liviano si puede, abríguese. Si aparecen dolor fuerte en el pecho, desmayo, falta de aire intensa o una crisis que no baja, pidan atención médica.",¿Y si no duermo?,validacion,train
Camila,Camila_120,119,E,"Para los próximos días, Camila, es posible que aparezca miedo a salir, miedo a manejar, hipervigilancia, culpa, rabia, vergüenza, pesadillas, imágenes del arma o sensación de que algo malo va a pasar.",¿Y si no duermo?,otro,train
Camila,Camila_121,120,E,"No tiene que decidir eso esta noche. Tampoco se obligue de golpe ni se encierre por completo. La recuperación suele ser gradual: primero estar acompañada, después hacer trámites, después salir con alguien, después retomar rutinas poco a poco.",No quiero volver a manejar.,otro,train
Camila,Camila_122,121,E,"En muchas personas la intensidad baja con seguridad, apoyo y descanso. Pero si en los próximos días no puede dormir, no puede salir, siente que está en peligro todo el tiempo, revive la escena como si estuviera ocurriendo, tiene crisis muy intensas o aparecen ideas de hacerse daño, pida apoyo profesional. No espere a estar al límite.",¿Se me va a pasar?,otro,train
Camila,Camila_123,122,E,Puede decirlo de forma breve: “Fui víctima de un asalto violento y necesito hacer trámites y recuperarme”. No tiene que entregar detalles. Puede pedir orientación médica si necesita reposo.,Me da vergüenza decir en el trabajo.,otro,train
Camila,Camila_124,123,E,"Bien. Y con los trámites, hagan una lista cuando esté más estable: bloqueo de tarjetas, bloqueo del celular, cambio de claves, documentos, denuncia, seguro del auto, cerradura y administración del edificio. Uno por uno.",Yo la ayudo con eso.,otro,train
Camila,Camila_125,124,E,No tiene que hacerlo todo ahora. Esta noche el objetivo es que no esté sola y que esté segura.,No puedo hacerlo ahora.,otro,train
Camila,Camila_126,125,E,"Está bien considerar irse a otro lugar, pero no salga sola ni de manera impulsiva. ¿Su hermana puede llevarla a su casa o quedarse con usted?",No quiero dormir aquí. No puedo. No puedo estar aquí.,pregunta_cerrada,train
Camila,Camila_127,126,E,"Entonces háganlo de forma ordenada: Camila lleva solo lo necesario, no revisa toda la casa, no baja sola, conserjería acompaña si corresponde, y dejan avisado que las llaves fueron robadas.",Puede irse conmigo. Estamos en auto.,otro,train
Camila,Camila_128,127,E,"No necesita empacar. Solo teléfono, cargador si está cerca, algún abrigo, medicamentos si toma alguno y cerrar. Lo demás espera.",No quiero empacar.,otro,train
Camila,Camila_129,128,E,"Entonces su hermana se queda o coordinan otra persona. Refuercen seguridad del departamento y mañana gestionan cerradura, denuncia y documentos. Lo importante es que no esté sola esta noche. PLAN FINAL ABCDE INTEGRADO","No. Quiero quedarme, pero no sola.",otro,train
Camila,Camila_130,129,E,"Vamos a revisar el plan. Uno: usted está acompañada por su hermana. Dos: conserjería sabe que le robaron llaves y documentos. Tres: no abrirá la puerta a nadie sin confirmar. Cuatro: no pasará la noche sola. Cinco: si se va del departamento, se irá acompañada y con lo mínimo. Seis: cuando esté más estable, bloquearán tarjetas, celular y cuentas. Siete: gestionarán denuncia, seguro del auto y cambio de cerradura acompañada. Ocho: si aparecen síntomas físicos intensos o ideas de hacerse daño, pedirán atención de urgencia.","No. Quiero quedarme, pero no sola.",otro,train
Camila,Camila_131,130,E,"Para usted, no solo para los trámites: cuando vuelva la imagen de la pistola, use esta frase: “Fue hace un rato. Ahora estoy acompañada. La puerta está cerrada. Estoy a salvo en este minuto”.",Ya.,otro,train
Camila,Camila_132,131,E,"Otra vez, si puede.",Fue hace un rato. Ahora estoy acompañada. La puerta está cerrada. Estoy a salvo en este minuto.,otro,train
Camila,Camila_133,132,E,"Bien. No tiene que creerlo al cien por ciento para repetirlo. Es un ancla, no una obligación.",Fue hace un rato. Ahora estoy acompañada. La puerta está cerrada. Estoy a salvo en este minuto.,otro,train
Camila,Camila_134,133,E,"Camila, hizo algo muy importante: pidió ayuda después de vivir una amenaza extrema. Eso no borra lo que pasó, pero cambia cómo pasa esta noche.",Fue hace un rato. Ahora estoy acompañada. La puerta está cerrada. Estoy a salvo en este minuto.,otro,train
Camila,Camila_135,134,E,"Sí. Y sobrevivió. Ahora no tiene que resolver todo. Tiene que estar acompañada, segura y dejar que la ayuden paso a paso.",Yo pensé que me iban a matar.,otro,train
Camila,Camila_136,135,E,"Lo entiendo. Antes de cortar, confirme conmigo tres cosas. ¿Su hermana está al lado?",Me da miedo cortar.,validacion|pregunta_cerrada,train
Camila,Camila_137,136,E,¿La puerta está cerrada?,Sí.,pregunta_cerrada,train
Camila,Camila_138,137,E,¿Conserjería está avisada?,Sí.,pregunta_cerrada,train
Camila,Camila_139,138,E,Entonces ya no está sola con esto.,Sí.,otro,train
Camila,Camila_140,139,E,"Voy a cortar para que su hermana pueda acompañarla con lo inmediato. Si vuelve a sentirse fuera de control, si siente que no puede respirar, si aparece una idea de hacerse daño o si se siente en peligro real, vuelve a llamar o pide ayuda presencial.",Ya.,otro,train
Camila,Camila_141,140,E,Camila.,Ya.,otro,train
Camila,Camila_142,141,E,"En este minuto, está a salvo.",Sí.,otro,train
Javiera,Javiera_001,142,A,"Línea de apoyo y emergencia, habla Andrés. ¿Con quién hablo?",,otro,train
Javiera,Javiera_002,143,A,Está bien. Hable bajo. Estoy escuchando. ¿Me puede decir su nombre?,"susurrando, hiperventilada No puedo hablar fuerte.",pregunta_cerrada,train
